# ----------------------------------------
# Acquisition
# Account: AccidentalRebel
# Property: Accidental Rebel - GA4
# ----------------------------------------
#  
# Start date: 20250228
# End date: 20260221
Nth day,New users
0000,4
0001,3
0002,3
0003,12
0004,13
0005,6
0006,5
0007,4
0008,1
0009,3
0010,5
0011,7
0012,3
0013,2
0014,2
0015,1
0016,7
0017,9
0018,7
0019,2
0020,2
0021,1
0022,3
0023,3
0024,3
0025,4
0026,0
0027,4
0028,5
0029,3
0030,0
0031,0
0032,2
0033,4
0034,8
0035,2
0036,4
0037,2
0038,2
0039,0
0040,9
0041,4
0042,11
0043,5
0044,4
0045,8
0046,7
0047,12
0048,4
0049,2
0050,4
0051,3
0052,4
0053,4
0054,6
0055,6
0056,4
0057,3
0058,4
0059,5
0060,4
0061,7
0062,2
0063,4
0064,3
0065,4
0066,9
0067,3
0068,7
0069,5
0070,0
0071,6
0072,6
0073,8
0074,5
0075,7
0076,5
0077,9
0078,3
0079,5
0080,2
0081,0
0082,6
0083,3
0084,4
0085,4
0086,4
0087,1
0088,1
0089,3
0090,5
0091,4
0092,3
0093,0
0094,5
0095,4
0096,2
0097,8
0098,3
0099,2
0100,7
0101,4
0102,3
0103,4
0104,1
0105,9
0106,5
0107,3
0108,10
0109,20
0110,3
0111,8
0112,1
0113,1
0114,0
0115,6
0116,2
0117,1
0118,7
0119,7
0120,1
0121,6
0122,15
0123,15
0124,2
0125,5
0126,10
0127,7
0128,27
0129,2
0130,1
0131,3
0132,2
0133,4
0134,8
0135,6
0136,0
0137,2
0138,4
0139,6
0140,2
0141,2
0142,2
0143,2
0144,4
0145,1
0146,3
0147,21
0148,7
0149,2
0150,2
0151,2
0152,5
0153,1
0154,4
0155,4
0156,8
0157,6
0158,2
0159,7
0160,6
0161,32
0162,4
0163,0
0164,2
0165,453
0166,90
0167,2
0168,1
0169,1
0170,4
0171,1
0172,0
0173,1
0174,3
0175,2
0176,3
0177,3
0178,3
0179,5
0180,4
0181,1
0182,4
0183,13
0184,3
0185,2
0186,4
0187,3
0188,3
0189,1
0190,2
0191,0
0192,8
0193,3
0194,7
0195,2
0196,1
0197,1
0198,4
0199,2
0200,6
0201,2
0202,5
0203,1
0204,3
0205,4
0206,1
0207,1
0208,7
0209,5
0210,1
0211,6
0212,3
0213,6
0214,4
0215,10
0216,0
0217,5
0218,7
0219,5
0220,5
0221,3
0222,8
0223,7
0224,7
0225,6
0226,8
0227,6
0228,7
0229,2
0230,3
0231,23
0232,8
0233,6
0234,11
0235,9
0236,9
0237,26
0238,33
0239,10
0240,4
0241,10
0242,9
0243,18
0244,10
0245,11
0246,21
0247,35
0248,9
0249,31
0250,21
0251,26
0252,23
0253,8
0254,7
0255,10
0256,5
0257,13
0258,14
0259,16
0260,18
0261,10
0262,17
0263,13
0264,7
0265,7
0266,17
0267,16
0268,25
0269,8
0270,12
0271,12
0272,16
0273,28
0274,16
0275,10
0276,14
0277,16
0278,15
0279,11
0280,17
0281,10
0282,14
0283,15
0284,18
0285,18
0286,13
0287,20
0288,21
0289,23
0290,14
0291,13
0292,14
0293,18
0294,17
0295,19
0296,14
0297,11
0298,21
0299,11
0300,12
0301,16
0302,21
0303,21
0304,17
0305,13
0306,20
0307,16
0308,22
0309,16
0310,14
0311,17
0312,15
0313,18
0314,18
0315,11
0316,17
0317,6
0318,13
0319,18
0320,18
0321,13
0322,11
0323,19
0324,18
0325,15
0326,16
0327,14
0328,23
0329,34
0330,30
0331,21
0332,57
0333,61
0334,29
0335,37
0336,19
0337,43
0338,17
0339,25
0340,10
0341,14
