# ----------------------------------------
# Tech overview
# Account: AccidentalRebel
# Property: Accidental Rebel - GA4
# ----------------------------------------
#  
# Start date: 20250228
# End date: 20260221
Platform,Active users
"[""Web""]",3919

#  
# Start date: 20250228
# End date: 20260221
Operating system,Active users
Windows,2609
Android,569
Macintosh,377
Linux,265
iOS,114
Chrome OS,11

#  
# Start date: 20250228
# End date: 20260221
Platform / device category,Active users
web / desktop,3241
web / mobile,670
web / tablet,15

#  
# Start date: 20250228
# End date: 20260221
Browser,Active users
Chrome,3210
Firefox,199
Safari,120
Android Webview,112
Edge,96
UC Browser,44
Opera,40
Safari (in-app),27
Samsung Internet,19
YaBrowser,13
Internet Explorer,9
Aloha Browser,4
Android Browser,3
Puffin,3
Whale Browser,3
Mozilla Compatible Agent,2
Seznam,2
Coc Coc,1
Maxthon,1
Meta Quest Browser,1
Mozilla,1
Opera Mini,1
Phoenix Browser,1
Waterfox,1

#  
# Start date: 20250228
# End date: 20260221
Device category,Active users
desktop,3241
mobile,670
tablet,15

#  
# Start date: 20250228
# End date: 20260221
Screen resolution,Active users
1280x1200,1287
3840x2160,450
800x600,426
1920x1080,219
1366x768,146
720x1280,103
1080x1920,75
1536x864,75
2560x1440,59
1600x1600,53
1280x720,46
1024x1024,35
3440x1440,29
480x854,26
1440x2560,24
1440x900,22
720x1440,22
480x800,20
412x915,18
1080x2340,17
1470x956,17
1600x1200,17
1280x1024,16
1280x800,16
1440x2960,16
1080x2160,14
1920x1200,14
1512x982,13
540x960,13
1920x890,12
1024x768,11
1728x1117,11
375x812,11
393x873,11
640x960,11
1080x2220,10
1080x600,10
360x800,10
402x874,10
820x1180,10
1536x960,9
1600x900,9
2048x1152,9
375x667,9
414x896,9
720x1520,9
1080x2280,8
1366x1366,8
393x852,8
430x932,8
480x960,8
2560x1600,7
384x832,7
390x844,7
428x926,7
1280x1280,6
1360x768,6
1680x1050,6
440x956,6
1280x960,5
1707x1067,5
720x1480,5
1080x2400,4
1086x834,4
1278x1468,4
1800x1169,4
360x640,4
385x854,4
661x1100,4
750x1334,4
1344x1344,3
1440x2880,3
1440x3040,3
1600x1000,3
1710x1107,3
1792x1120,3
1x1,3
2796x1290,3
412x892,3
412x924,3
424x942,3
5120x1440,3
720x1560,3
744x1133,3
1024x1366,2
1024x898,2
1080x2240,2
1080x2244,2
1368x912,2
1688x930,2
1707x960,2
1728x1080,2
1918x920,2
2000x2000,2
2560x1080,2
3072x1728,2
3200x1800,2
360x760,2
360x770,2
360x792,2
360x804,2
360x806,2
360x812,2
360x820,2
3840x1080,2
385x824,2
393x851,2
420x912,2
432x960,2
601x962,2
720x1570,2
810x1080,2
834x1194,2
1024x640,1
1032x1376,1
1080x2032,1
1080x2270,1
1080x2312,1
1080x2560,1
1100x550,1
1128x752,1
1133x744,1
1154x770,1
1155x650,1
1182x739,1
1193x671,1
1220x813,1
1227x876,1
1234x876,1
1242x864,1
1256x5954,1
1280x675,1
1280x721,1
1280x832,1
1281x800,1
1312x2560,1
1336x752,1
1350x10406,1
1382x864,1
1384x779,1
1408x792,1
1440x1080,1
1440x2561,1
1440x3120,1
1467x825,1
1512x945,1
1524x858,1
1644x3840,1
1654x920,1
1664x936,1
1710x1073,1
1716x878,1
1718x920,1
1718x938,1
1760x990,1
1876x1372,1
1902x939,1
1918x878,1
1918x968,1
1918x998,1
1920x944,1
1920x974,1
1920x989,1
1920x994,1
2048x1080,1
2048x1280,1
2049x1152,1
2056x1329,1
2144x1206,1
2148x1280,1
2160x3840,1
2166x1226,1
2371x1334,1
240x320,1
2558x1238,1
2732x1536,1
2752x1152,1
3008x1692,1
3199x1339,1
320x480,1
320x712,1
355x793,1
360x780,1
360x802,1
360x825,1
3840x1600,1
3840x1620,1
384x688,1
384x854,1
385x833,1
388x861,1
390x664,1
393x875,1
393x895,1
400x800,1
400x890,1
404x900,1
407x904,1
408x907,1
411x731,1
412x1006,1
412x732,1
424x946,1
427x953,1
450x975,1
452x1003,1
480x640,1
486x1079,1
600x960,1
640x1280,1
720x1544,1
720x1600,1
765x4044,1
767x807,1
768x1024,1
768x1152,1
800x1232,1
804x936,1
828x1792,1
954x1373,1
955x925,1
970x1408,1
979x1557,1

#  
# Start date: 20250228
# End date: 20260221
Nth day


#  
# Start date: 20250228
# End date: 20260221
App,Version,Status


#  
# Start date: 20260221
# End date: 20260221
App,Crash-free users


# Start date: 20260220
# End date: 20260220
App,Crash-free users


#  
# Start date: 20250228
# End date: 20260221
Device model,Active users
